age_yr,se_age_yr,dbh_cm,method
55.4109589041095,1,23.8,F14C
52.4109589041095,1,23.8,F14C
50.4109589041095,1.5,23.8,F14C
69.8630136986301,1,20.5,F14C
56.668493150685,1,19.5,F14C
53.668493150685,1,19.5,F14C
47.668493150685,1,19.5,F14C
72.8630136986301,2.75,36.5,F14C
50.5178082191781,4,33,F14C
50.5178082191781,4,33,F14C
69.8465753424657,2,29.7,F14C
45.1698630136987,4.25,27.6,F14C
72.3287671232877,3.5,26.9,F14C
52.5178082191781,5,26.8,F14C
61.4109589041095,1,25.9,F14C
70.304109589041,2.75,25.6,F14C
53.7342465753425,1,25.1,F14C
76.3287671232877,6.5,24,F14C
59.3479452054794,7,23.2,F14C
49.8219178082193,2,22.4,F14C
49.1698630136987,2.5,21.4,F14C
62.8219178082193,1,19.3,F14C
59.2931506849316,1,18.2,F14C
44.5178082191781,1,17.3,F14C
37.8219178082193,1,16.7,F14C
41.5178082191781,4.5,16.3,F14C
71.3287671232877,2,15.7,F14C
52.4109589041095,1,15.5,F14C
29.8630136986301,8.75,14.2,F14C
36.8219178082193,6.5,14.1,F14C
28.8219178082193,1,13.6,F14C
62.3479452054794,1,23.9,F14C
40.5178082191781,1,11.9,F14C
44.4109589041095,1,8.7,F14C
3.10684931506853,1,1.2,regen
2.59726027397255,1,1.2,regen
4.55890410958909,1,1.15,regen
2.73698630137005,1,1.55,regen
12,2.16,4.9,ring count
14,2.52,4.5,ring count
11,1.98,4.2,ring count
12,2.16,4.3,ring count
8,1.44,1.6,ring count
28,5.04,7.1,ring count
18,3.24,8.7,ring count
14,2.52,6.3,ring count
12,2.16,6.5,ring count
