flower_binary,fruit_binary,year,day_of_the_year,dbh_cm,height_m
,,2020,346,,
,,2021,99,,
,,2021,84,,
,,2021,99,,
,,2020,168,,
,,2020,168,,
,,2021,88,,
,,2021,56,,
,,2021,88,,
,,2021,99,,
,,2019,107,,
,,2020,342,,
,,2020,346,,
,,2021,52,,
,,2021,52,,
,,2021,88,,
,,2020,196,,
,,2021,27,,
,,2021,89,,
,,2021,89,,
,,2021,99,,
,,2021,99,,5
,,2021,99,,
,,2021,26,,
,,2020,196,,
,,2020,168,,
,,2020,196,,
,,2021,89,,
,,2021,98,,
,,2021,99,,
,,2021,100,,
,,2021,107,,
,,2019,114,,10
,,2021,100,,
,,2019,107,,10
,,2021,145,,8
,,2021,22,,
,,2021,27,,15
,,2020,196,,
,,2020,350,,
,,2021,145,,12
,,2022,97,,
,,2019,225,,8
,,2020,344,,
,,2021,22,,
,,2021,27,,
,,2021,145,,15
,,2021,186,,13
,,2021,256,,8
,,2019,107,,15
,,2020,135,,11
,,2020,196,,
,,2020,196,,
,,2020,342,,
,,2020,345,,
,,2020,353,,
,,2021,71,,
,,2021,99,,12
,,2021,186,,12
,,2021,190,,
,,2019,297,,5
,,2020,66,,12
,,2021,8,,8
,,2021,8,,8
,,2021,186,,12
,,2018,249,,8
,,2019,332,,7
,,2020,66,,5
,,2020,66,,12
,,2020,66,,10
,,2020,168,,
,,2020,168,,
,,2020,184,,4.5
,,2020,196,,
,,2020,238,,10
,,2020,272,,10
,,2020,281,,10
,,2020,329,,4
,,2020,338,,10
,,2020,342,,14
,,2020,344,,10
,,2020,344,,
,,2020,351,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,99,,
,,2021,108,,
,,2021,186,,10
,,2021,190,,11
,,2019,107,,15
,,2020,135,,12
,,2020,196,,
,,2020,304,,11
,,2020,344,,
,,2020,349,,
,,2021,6,,10
,,2021,27,,13
,,2021,98,,
,,2021,98,,
,,2021,107,,
,,2021,190,,9
,,2022,69,,
,,2018,235,,
,,2019,35,,
,,2019,53,,
,,2019,225,,6
,,2019,225,,4
,,2019,225,,6
,,2020,135,,13
,,2020,169,,7
,,2020,196,,
,,2020,238,,10
,,2020,281,,10
,,2020,342,,
,,2020,351,,
,,2021,6,,12
,,2021,8,,8
,,2021,27,,
,,2021,99,,
,,2021,186,,12
,,2019,225,,6
,,2019,225,,6
,,2019,333,,6
,,2019,338,,15
,,2020,66,,11
,,2020,66,,18
,,2020,169,,7
,,2020,196,,
,,2020,239,,
,,2020,290,,15
0,1,2020,335,,23
,,2020,344,,12
,,2020,344,,10
,,2020,344,,7
,,2020,344,,
,,2020,344,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,350,,
,,2020,351,,12
,,2021,47,,
,,2021,70,,
,,2021,71,,
,,2021,99,,
,,2021,99,,
,,2021,189,,7
,,2021,190,,8
,,2021,190,,11
,,2021,190,,8
,,2022,62,,7.5
,,2018,236,,
,1,2019,35,,
,,2019,107,,10
,,2019,107,,15
,,2019,333,,6
,,2020,66,,18
,,2020,135,,10
,,2020,135,,14
,,2020,135,,10
,,2020,135,,10
,,2020,135,,11
,,2020,146,,6
,,2020,156,,12
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,244,,14
,,2020,266,,
,,2020,342,,
,1,2020,343,,5
,1,2020,343,,8
,,2020,344,,
,,2020,345,,
,,2020,349,,
0,0,2020,351,,18
,,2021,6,,9
,,2021,6,,10
,,2021,8,,8
,,2021,27,,
,,2021,76,,22
,,2021,56,,
,,2021,99,,10
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,100,,
,,2021,100,,
,,2021,108,,
,,2021,190,,
,,2021,257,,10
0,0,2022,231,,
0,0,2018,284,,
,,2018,285,,
,,2019,45,,
,,2019,51,,
,,2019,141,,
,,2019,214,,
,,2019,225,,8
,,2019,315,,7
,,2019,318,,
,,2019,318,,
,,2019,318,,
,,2019,318,,
,,2019,318,,
,,2019,318,,
,,2019,332,,8
,,2019,332,,6
,,2019,337,,15
,,2019,348,,
,,2020,66,,4
,,2020,135,,10
,,2020,135,,10
,,2020,135,,11
,,2020,135,,7
,,2020,149,,
,,2020,150,,13
,,2020,156,,15
,,2020,156,,4
,,2020,156,,6
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
