year,dbh_cm,height_m,disturbance_category,fire_disturbance_type,logging_decade
2019,,10,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,15,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,15,fire,No detected disturbance,
2021,,13,fire,No detected disturbance,
2019,,15,fire,No detected disturbance,
2020,,11,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2021,,12,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2020,,10,fire,No detected disturbance,
2020,,10,fire,No detected disturbance,
2020,,4,fire,No detected disturbance,
2020,,10,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,11,fire,No detected disturbance,
2019,,15,fire,No detected disturbance,
2020,,12,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,11,fire,No detected disturbance,
2021,,13,fire,No detected disturbance,
2021,,9,fire,No detected disturbance,
2019,,6,fire,No detected disturbance,
2019,,4,fire,No detected disturbance,
2019,,6,fire,No detected disturbance,
2020,,13,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,7,fire,No detected disturbance,
2020,,10,fire,No detected disturbance,
2020,,10,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2019,,6,fire,No detected disturbance,
2019,,6,fire,No detected disturbance,
2019,,15,fire,No detected disturbance,
2020,,7,fire,No detected disturbance,
2020,,15,fire,No detected disturbance,
2020,,12,fire,No detected disturbance,
2020,,10,fire,No detected disturbance,
2020,,7,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,11,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2022,,7.5,fire,No detected disturbance,
2019,,10,fire,No detected disturbance,
2019,,15,fire,No detected disturbance,
2019,,6,fire,No detected disturbance,
2020,,10,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,14,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,10,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,10,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,11,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,6,fire,No detected disturbance,
2020,,12,fire,No detected disturbance,
2020,,14,fire,No detected disturbance,
2021,,22,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,10,fire,No detected disturbance,
2019,,8,fire,No detected disturbance,
2019,,7,fire,No detected disturbance,
2019,,15,fire,No detected disturbance,
2020,,10,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,10,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,11,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,7,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,15,fire,No detected disturbance,
2020,,6,fire,No detected disturbance,
2020,,7,fire,No detected disturbance,
2020,,7,fire,No detected disturbance,
2020,,10,fire,No detected disturbance,
2020,,13,fire,No detected disturbance,
2020,,7,fire,No detected disturbance,
2020,,8,fire,No detected disturbance,
2020,,8,fire,No detected disturbance,
2020,,7,fire,No detected disturbance,
2020,,10,fire,No detected disturbance,
2020,,4,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,7,fire,No detected disturbance,
2020,,7,fire,No detected disturbance,
2020,,10,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,9,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,13,fire,No detected disturbance,
2019,,17,fire,No detected disturbance,
2019,,20,fire,No detected disturbance,
2019,,6,fire,No detected disturbance,
2020,,12,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,10,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,10,fire,No detected disturbance,
2020,,6,fire,No detected disturbance,
2020,,4,fire,No detected disturbance,
